epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
70,2000.7,0.34138,0.4474,0.26635,0.83822,0,0.98348,1,0.98313,0.95952,0.98348,1,0.98313,0.92413,0.27427,0.35975,0.23845,0.77795,0,0.0006338,0.0006338,0.0006338
71,2028.2,0.35627,0.49623,0.28579,0.84688,0,0.98345,1,0.98016,0.92987,0.98345,1,0.98016,0.91764,0.29773,0.36117,0.24591,0.78418,0,0.000614,0.000614,0.000614
72,2055.72,0.34129,0.46223,0.2562,0.83661,0,0.98346,1,0.98016,0.94474,0.98346,1,0.98016,0.93699,0.28115,0.35123,0.24305,0.7765,0,0.0005942,0.0005942,0.0005942
73,2083.63,0.36291,0.49481,0.26927,0.84098,0,0.98349,1,0.98344,0.95558,0.98349,1,0.98344,0.93058,0.26768,0.36028,0.24021,0.77938,0,0.0005744,0.0005744,0.0005744
74,2112.19,0.34481,0.4683,0.26827,0.83689,0,0.98349,1,0.98391,0.95699,0.98349,1,0.98391,0.92474,0.26359,0.34014,0.23449,0.78144,0,0.0005546,0.0005546,0.0005546
75,2139.15,0.32236,0.42906,0.25104,0.83639,0,0.98353,1,0.98547,0.96605,0.98353,1,0.98547,0.92796,0.26224,0.34854,0.22548,0.77783,0,0.0005348,0.0005348,0.0005348
76,2168.27,0.31815,0.41351,0.25045,0.83132,0,0.98351,1,0.98297,0.94705,0.98351,1,0.98297,0.92422,0.27255,0.3813,0.2348,0.77192,0,0.000515,0.000515,0.000515
77,2195.67,0.32184,0.45128,0.25174,0.82954,0,0.98351,1,0.98219,0.95604,0.98351,1,0.98219,0.93651,0.28181,0.36339,0.23571,0.7787,0,0.0004952,0.0004952,0.0004952
78,2223.08,0.32091,0.47516,0.25471,0.81709,0,0.98354,1,0.98672,0.95733,0.98354,1,0.98672,0.93239,0.27896,0.35547,0.23596,0.78253,0,0.0004754,0.0004754,0.0004754
79,2251.03,0.34674,0.43989,0.25993,0.84454,0,0.98354,1,0.98125,0.94509,0.98354,1,0.98125,0.92337,0.28212,0.39243,0.238,0.77769,0,0.0004556,0.0004556,0.0004556
80,2278.6,0.34384,0.4838,0.26032,0.8324,0,0.98353,1,0.98469,0.96096,0.98353,1,0.98469,0.93104,0.28667,0.34927,0.23882,0.77814,0,0.0004358,0.0004358,0.0004358
81,2306.61,0.32782,0.46623,0.26041,0.83474,0,0.98337,1,0.98469,0.95256,0.98337,1,0.98469,0.91659,0.28541,0.38018,0.23472,0.77691,0,0.000416,0.000416,0.000416
82,2334.4,0.3047,0.4359,0.24082,0.82496,0,0.98341,1,0.98469,0.952,0.98341,1,0.98469,0.92792,0.26759,0.37004,0.24157,0.77907,0,0.0003962,0.0003962,0.0003962
83,2362.31,0.32542,0.48206,0.2561,0.83038,0,0.9835,1,0.98141,0.95582,0.9835,1,0.98141,0.91658,0.26627,0.37579,0.21522,0.78079,0,0.0003764,0.0003764,0.0003764
84,2390.12,0.3215,0.43843,0.24433,0.83093,0,0.9835,1,0.98188,0.95424,0.9835,1,0.98188,0.92271,0.26448,0.35062,0.22254,0.77999,0,0.0003566,0.0003566,0.0003566
85,2417.81,0.32517,0.50009,0.25544,0.84288,0,0.98335,1,0.98094,0.94735,0.98335,1,0.98094,0.93511,0.26785,0.34054,0.22949,0.77999,0,0.0003368,0.0003368,0.0003368
86,2444.58,0.31411,0.44321,0.24413,0.82484,0,0.9835,1,0.98359,0.95713,0.9835,1,0.98359,0.94664,0.26692,0.35569,0.2224,0.77821,0,0.000317,0.000317,0.000317
87,2473.84,0.31075,0.42505,0.2353,0.83023,0,0.98348,1,0.98313,0.95166,0.98348,1,0.98313,0.9347,0.29751,0.35393,0.2392,0.78058,0,0.0002972,0.0002972,0.0002972
88,2503.14,0.30745,0.44738,0.23593,0.83588,0,0.98352,1,0.98469,0.96326,0.98352,1,0.98469,0.93687,0.26318,0.34403,0.22583,0.77858,0,0.0002774,0.0002774,0.0002774
89,2533.02,0.31189,0.47823,0.23686,0.82843,0,0.98352,1,0.98516,0.95967,0.98352,1,0.98516,0.93733,0.25782,0.34323,0.2079,0.77627,0,0.0002576,0.0002576,0.0002576
90,2561.94,0.30588,0.46333,0.23623,0.83749,0,0.98352,1,0.98438,0.95974,0.98352,1,0.98438,0.93567,0.26324,0.34526,0.21669,0.77366,0,0.0002378,0.0002378,0.0002378
91,2586.29,0.23074,0.30337,0.19276,0.77246,0,0.98351,1,0.98734,0.97566,0.98351,1,0.98734,0.92514,0.23712,0.35574,0.21349,0.77552,0,0.000218,0.000218,0.000218
92,2605.71,0.22107,0.3031,0.1824,0.77053,0,0.98353,1,0.99203,0.96262,0.98353,1,0.99203,0.9524,0.28394,0.3539,0.21667,0.77824,0,0.0001982,0.0001982,0.0001982
93,2625.59,0.21829,0.29264,0.17825,0.7722,0,0.98364,1,0.995,0.96528,0.98364,1,0.995,0.93626,0.25986,0.36054,0.20654,0.77347,0,0.0001784,0.0001784,0.0001784
94,2645.74,0.22067,0.28799,0.1836,0.77775,0,0.98365,1,0.995,0.96911,0.98365,1,0.995,0.9332,0.25447,0.35315,0.19926,0.77128,0,0.0001586,0.0001586,0.0001586
95,2664.66,0.21032,0.29517,0.17314,0.76486,0,0.98354,1,0.99391,0.97404,0.98354,1,0.99391,0.95319,0.2427,0.347,0.1959,0.77167,0,0.0001388,0.0001388,0.0001388
96,2685.03,0.20807,0.28782,0.1761,0.77061,0,0.98353,1,0.99203,0.96666,0.98353,1,0.99203,0.94685,0.23657,0.35304,0.19993,0.77281,0,0.000119,0.000119,0.000119
97,2704.97,0.2127,0.29037,0.17339,0.76743,0,0.98353,1,0.99109,0.97303,0.98353,1,0.99109,0.9405,0.23929,0.3453,0.2006,0.77348,0,9.92e-05,9.92e-05,9.92e-05
98,2724.33,0.21177,0.28088,0.17382,0.77515,0,0.98354,1,0.99094,0.97198,0.98354,1,0.99094,0.94324,0.24374,0.34963,0.20414,0.77535,0,7.94e-05,7.94e-05,7.94e-05
99,2743.84,0.20838,0.2856,0.17271,0.76598,0,0.98353,1,0.99016,0.96797,0.98353,1,0.99016,0.94157,0.25331,0.35444,0.20017,0.77534,0,5.96e-05,5.96e-05,5.96e-05
100,2764.13,0.19838,0.27976,0.1664,0.75894,0,0.98354,1,0.98984,0.96678,0.98354,1,0.98984,0.93599,0.24837,0.34935,0.20129,0.77452,0,3.98e-05,3.98e-05,3.98e-05
